episode,reward,mean
0,0.0,
1,2.0,
2,0.0,
3,-1.0,
4,-1.0,0.0
5,0.0,0.0
6,2.0,0.0
7,3.0,0.6
8,4.0,1.6
9,3.0,2.4
10,1.0,2.6
11,4.0,3.0
12,6.0,3.6
13,1.0,3.0
14,2.0,2.8
15,2.0,3.0
16,5.0,3.2
17,5.0,3.0
18,1.0,3.0
19,-2.0,2.2
20,3.0,2.4
21,7.0,2.8
22,0.0,1.8
23,5.0,2.6
24,4.0,3.8
25,2.0,3.6
26,2.0,2.6
27,0.0,2.6
28,0.0,1.6
29,4.0,1.6
30,5.0,2.2
31,1.0,2.0
32,5.0,3.0
33,3.0,3.6
34,5.0,3.8
35,10.0,4.8
36,5.0,5.6
37,1.0,4.8
38,5.0,5.2
39,1.0,4.4
40,6.0,3.6
41,7.0,4.0
42,1.0,4.0
43,4.0,3.8
44,4.0,4.4
45,4.0,4.0
46,5.0,3.6
47,12.0,5.8
48,3.0,5.6
49,6.0,6.0
50,3.0,5.8
51,0.0,4.8
52,3.0,3.0
53,2.0,2.8
54,1.0,1.8
55,10.0,3.2
56,0.0,3.2
57,5.0,3.6
58,2.0,3.6
59,5.0,4.4
60,5.0,3.4
61,3.0,4.0
62,7.0,4.4
63,9.0,5.8
64,10.0,6.8
65,2.0,6.2
66,10.0,7.6
67,8.0,7.8
68,14.0,8.8
69,11.0,9.0
70,8.0,10.2
71,14.0,11.0
72,2.0,9.8
73,7.0,8.4
74,4.0,7.0
75,7.0,6.8
76,8.0,5.6
77,7.0,6.6
78,5.0,6.2
79,3.0,6.0
80,8.0,6.2
81,9.0,6.4
82,8.0,6.6
83,9.0,7.4
84,8.0,8.4
85,8.0,8.4
86,3.0,7.2
87,13.0,8.2
88,16.0,9.6
89,9.0,9.8
90,6.0,9.4
91,12.0,11.2
92,12.0,11.0
93,14.0,10.6
94,3.0,9.4
95,11.0,10.4
96,3.0,8.6
97,9.0,8.0
98,7.0,6.6
99,13.0,8.6
100,7.0,7.8
101,8.0,8.8
102,9.0,8.8
103,8.0,9.0
104,7.0,7.8
105,10.0,8.4
106,12.0,9.2
107,5.0,8.4
108,6.0,8.0
109,8.0,8.2
110,6.0,7.4
111,10.0,7.0
112,15.0,9.0
113,7.0,9.2
114,9.0,9.4
115,7.0,9.6
116,1.0,7.8
117,12.0,7.2
118,11.0,8.0
119,14.0,9.0
120,17.0,11.0
121,6.0,12.0
122,10.0,11.6
123,8.0,11.0
124,4.0,9.0
125,16.0,8.8
126,10.0,9.6
127,9.0,9.4
128,11.0,10.0
129,16.0,12.4
130,5.0,10.2
131,21.0,12.4
132,15.0,13.6
133,10.0,13.4
134,11.0,12.4
135,18.0,15.0
136,18.0,14.4
137,9.0,13.2
138,8.0,12.8
139,11.0,12.8
140,9.0,11.0
141,21.0,11.6
142,14.0,12.6
143,10.0,13.0
144,14.0,13.6
145,17.0,15.2
146,16.0,14.2
147,15.0,14.4
148,17.0,15.8
149,8.0,14.6
150,9.0,13.0
151,15.0,12.8
152,16.0,13.0
153,10.0,11.6
154,21.0,14.2
155,14.0,15.2
156,12.0,14.6
157,17.0,14.8
158,9.0,14.6
159,15.0,13.4
160,6.0,11.8
161,12.0,11.8
162,15.0,11.4
163,12.0,12.0
164,13.0,11.6
165,15.0,13.4
166,14.0,13.8
167,18.0,14.4
168,11.0,14.2
169,15.0,14.6
170,13.0,14.2
171,16.0,14.6
172,14.0,13.8
173,17.0,15.0
174,15.0,15.0
175,5.0,13.4
176,13.0,12.8
177,16.0,13.2
178,18.0,13.4
179,17.0,13.8
180,15.0,15.8
181,6.0,14.4
182,12.0,13.6
183,16.0,13.2
184,15.0,12.8
185,20.0,13.8
186,14.0,15.4
187,17.0,16.4
188,20.0,17.2
189,3.0,14.8
190,11.0,13.0
191,14.0,13.0
192,13.0,12.2
193,14.0,11.0
194,13.0,13.0
195,12.0,13.2
196,16.0,13.6
197,11.0,13.2
198,15.0,13.4
199,7.0,12.2
200,16.0,13.0
201,20.0,13.8
202,14.0,14.4
203,11.0,13.6
204,16.0,15.4
205,15.0,15.2
206,4.0,12.0
207,15.0,12.2
208,16.0,13.2
209,11.0,12.2
210,20.0,13.2
211,15.0,15.4
212,19.0,16.2
213,15.0,16.0
214,8.0,15.4
215,18.0,15.0
216,15.0,15.0
217,17.0,14.6
218,20.0,15.6
219,22.0,18.4
220,14.0,17.6
221,7.0,16.0
222,23.0,17.2
223,14.0,16.0
224,14.0,14.4
225,19.0,15.4
226,5.0,15.0
227,8.0,12.0
228,7.0,10.6
229,12.0,10.2
230,15.0,9.4
