episode,reward,mean
0,0.0,
1,2.0,
2,-2.0,
3,1.0,
4,-1.0,0.0
5,1.0,0.2
6,1.0,0.0
7,5.0,1.4
8,0.0,1.2
9,2.0,1.8
10,5.0,2.6
11,0.0,2.4
12,2.0,1.8
13,1.0,2.0
14,2.0,2.0
15,3.0,1.6
16,0.0,1.6
17,3.0,1.8
18,1.0,1.8
19,3.0,2.0
20,4.0,2.2
21,-1.0,2.0
22,8.0,3.0
23,2.0,3.2
24,3.0,3.2
25,2.0,2.8
26,0.0,3.0
27,4.0,2.2
28,2.0,2.2
29,4.0,2.4
30,0.0,2.0
31,4.0,2.8
32,1.0,2.2
33,3.0,2.4
34,2.0,2.0
35,8.0,3.6
36,1.0,3.0
37,3.0,3.4
38,4.0,3.6
39,3.0,3.8
40,6.0,3.4
41,4.0,4.0
42,6.0,4.6
43,0.0,3.8
44,6.0,4.4
45,1.0,3.4
46,12.0,5.0
47,4.0,4.6
48,2.0,5.0
49,6.0,5.0
50,5.0,5.8
51,3.0,4.0
52,1.0,3.4
53,0.0,3.0
54,1.0,2.0
55,5.0,2.0
56,3.0,2.0
57,7.0,3.2
58,4.0,4.0
59,2.0,4.2
60,6.0,4.4
61,8.0,5.4
62,8.0,5.6
63,7.0,6.2
64,7.0,7.2
65,3.0,6.6
66,4.0,5.8
67,7.0,5.6
68,3.0,4.8
69,11.0,5.6
70,11.0,7.2
71,1.0,6.6
72,10.0,7.2
73,6.0,7.8
74,3.0,6.2
75,8.0,5.6
76,4.0,6.2
77,2.0,4.6
78,8.0,5.0
79,6.0,5.6
80,10.0,6.0
81,9.0,7.0
82,8.0,8.2
83,6.0,7.8
84,13.0,9.2
85,13.0,9.8
86,1.0,8.2
87,16.0,9.8
88,3.0,9.2
89,12.0,9.0
90,5.0,7.4
91,9.0,9.0
92,12.0,8.2
93,12.0,10.0
94,11.0,9.8
95,13.0,11.4
96,6.0,10.8
97,2.0,8.8
98,16.0,9.6
99,11.0,9.6
100,5.0,8.0
101,14.0,9.6
102,13.0,11.8
103,13.0,11.2
104,14.0,11.8
105,13.0,13.4
106,13.0,13.2
107,5.0,11.6
108,4.0,9.8
109,12.0,9.4
110,10.0,8.8
111,8.0,7.8
112,3.0,7.4
113,5.0,7.6
114,6.0,6.4
115,14.0,7.2
116,15.0,8.6
117,6.0,9.2
118,16.0,11.4
119,8.0,11.8
120,14.0,11.8
121,13.0,11.4
122,13.0,12.8
123,15.0,12.6
124,6.0,12.2
125,11.0,11.6
126,16.0,12.2
127,6.0,10.8
128,12.0,10.2
129,12.0,11.4
130,7.0,10.6
131,6.0,8.6
132,7.0,8.8
133,13.0,9.0
134,14.0,9.4
135,19.0,11.8
136,11.0,12.8
137,14.0,14.2
138,10.0,13.6
139,9.0,12.6
140,11.0,11.0
141,4.0,9.6
142,15.0,9.8
143,13.0,10.4
144,16.0,11.8
145,12.0,12.0
146,19.0,15.0
147,15.0,15.0
148,14.0,15.2
149,13.0,14.6
150,10.0,14.2
151,23.0,15.0
152,16.0,15.2
153,9.0,14.2
154,17.0,15.0
155,8.0,14.6
156,15.0,13.0
157,13.0,12.4
158,21.0,14.8
159,4.0,12.2
160,6.0,11.8
161,19.0,12.6
162,7.0,11.4
163,13.0,9.8
164,5.0,10.0
165,7.0,10.2
166,12.0,8.8
167,12.0,9.8
168,11.0,9.4
169,14.0,11.2
170,16.0,13.0
171,12.0,13.0
172,9.0,12.4
173,13.0,12.8
174,5.0,11.0
175,8.0,9.4
176,12.0,9.4
177,14.0,10.4
178,13.0,10.4
179,9.0,11.2
180,13.0,12.2
181,18.0,13.4
182,16.0,13.8
183,13.0,13.8
184,16.0,15.2
185,10.0,14.6
186,13.0,13.6
187,19.0,14.2
188,19.0,15.4
189,16.0,15.4
190,10.0,15.4
191,20.0,16.8
192,21.0,17.2
193,2.0,13.8
194,18.0,14.2
195,14.0,15.0
196,19.0,14.8
197,12.0,13.0
198,2.0,13.0
199,19.0,13.2
200,11.0,12.6
201,10.0,10.8
202,20.0,12.4
203,8.0,13.6
204,5.0,10.8
205,15.0,11.6
206,17.0,13.0
207,9.0,10.8
208,11.0,11.4
209,16.0,13.6
210,19.0,14.4
211,17.0,14.4
212,15.0,15.6
213,8.0,15.0
214,17.0,15.2
215,13.0,14.0
216,18.0,14.2
217,14.0,14.0
218,14.0,15.2
219,21.0,16.0
220,18.0,17.0
221,12.0,15.8
222,17.0,16.4
223,13.0,16.2
224,9.0,13.8
225,15.0,13.2
226,15.0,13.8
227,13.0,13.0
228,9.0,12.2
229,15.0,13.4
230,14.0,13.2
